
Train,11050,AHMEDABAD EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
37,PWL,PALWAL,1,22:28:00,22:30:00,2,559,1,
38,KSV,KOSI KALAN,1,23:00:00,23:02:00,2,602,1,
39,MTJ,MATHURA JN,1,23:35:00,23:40:00,5,643,1,
40,RKM,RAJA KI MANDI,1,00:33:00,00:35:00,2,693,2,
41,AGC,AGRA CANTT,1,00:55:00,01:03:00,8,697,2,
42,DHO,DHAULPUR,1,01:41:00,01:43:00,2,749,2,
43,MRA,MORENA,1,02:05:00,02:07:00,2,777,2,
44,GWL,GWALIOR,1,02:50:00,02:58:00,8,815,2,
45,DBA,DABRA,1,03:31:00,03:33:00,2,857,2,
46,SOR,SONAGIR,1,03:56:00,03:58:00,2,876,2,
47,DAA,DATIA,1,04:13:00,04:15:00,2,887,2,
48,JHS,JHANSI JN,1,04:50:00,05:00:00,10,912,2,
49,BAB,BABINA,1,05:23:00,05:25:00,2,937,2,
50,BZY,BASAI,1,05:39:00,05:41:00,2,949,2,
51,TBT,TALBAHAT,1,05:56:00,05:58:00,2,962,2,
52,LAR,LALITPUR,1,06:39:00,06:41:00,2,1002,2,
53,JLN,JAKHALAUN,1,07:01:00,07:03:00,2,1019,2,
54,DUA,DHAURA,1,07:10:00,07:12:00,2,1030,2,
55,BINA,BINA JN,1,08:55:00,09:00:00,5,1065,2,
56,MABA,MANDI BAMORA,1,09:15:00,09:17:00,2,1082,2,
57,BAQ,GANJ BASODA,1,09:39:00,09:41:00,2,1110,2,
58,BHS,VIDISHA,1,10:16:00,10:18:00,2,1150,2,
59,BPL,BHOPAL JN,1,11:10:00,11:15:00,5,1203,2,
60,HBJ,HABIBGANJ,1,11:25:00,11:27:00,2,1209,2,
61,MDDP,MANDI DIP,1,11:42:00,11:44:00,2,1225,2,
62,ODG,OBAIDULLA GANJ,1,11:57:00,11:59:00,2,1239,2,
63,BNI,BUDNI,1,12:33:00,12:35:00,2,1270,2,
64,HBD,HOSHANGABAD,1,12:44:00,12:46:00,2,1277,2,
65,ET,ITARSI JN,1,13:15:00,13:20:00,5,1295,2,
66,BPF,BANAPURA,1,13:44:00,13:46:00,2,1328,2,
67,TBN,TIMARNI,1,14:08:00,14:10:00,2,1356,2,
68,HD,HARDA,1,14:24:00,14:26:00,2,1370,2,
69,KKN,KHIRKIYA,1,14:51:00,14:53:00,2,1402,2,
70,CAER,CHHANERA,1,15:16:00,15:18:00,2,1433,2,
71,TLV,TALVADYA,1,15:53:00,15:55:00,2,1463,2,
72,KNW,KHANDWA,1,16:40:00,16:45:00,5,1478,2,
73,NPNR,NEPANAGAR,1,17:18:00,17:20:00,2,1521,2,
74,BAU,BURHANPUR,1,17:43:00,17:45:00,2,1547,2,
75,RV,RAVER,1,17:58:00,18:00:00,2,1567,2,
76,NB,NIMBHORA,1,18:08:00,18:10:00,2,1577,2,
77,SAV,SAVDA,1,18:18:00,18:20:00,2,1586,2,
78,BSL,BHUSAVAL JN,1,18:40:00,18:55:00,15,1602,2,
79,JL,JALGAON JN,1,19:18:00,19:20:00,2,1626,2,
80,PC,PACHORA JN,1,19:53:00,19:55:00,2,1673,2,
81,CSN,CHALISGAON JN,1,21:03:00,21:05:00,2,1718,2,
82,MMR,MANMAD JN,1,21:45:00,21:50:00,5,1786,2,
83,NK,NASIK ROAD,1,22:58:00,23:00:00,2,1859,2,
84,DVL,DEVLALI,1,23:08:00,23:10:00,2,1864,2,
85,IGP,IGATPURI,1,00:43:00,00:45:00,2,1909,3,
86,KYN,KALYAN JN,1,02:40:00,02:45:00,5,1993,3,
87,TNA,THANE,1,03:03:00,03:05:00,2,2013,3,
88,LTT,LOKMANYATILAK T,1,03:50:00,Destination,0,2030,3,


Train,11095,AHIMSA EXPRESS,,,,,,,
