
Train,2864,YPR HWH PREMIUM,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,


Train,11005,PUDUCHERRY EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
26,SBC,BANGALORE CY JN,1,08:15:00,08:20:00,5,857,2,
27,YPR,YESVANTPUR JN,1,08:55:00,Destination,0,863,2,


Train,16525,BANGALORE EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,CAPE,KANYAKUMARI,1,Source,10:30:00,0,0,1,
2,NCJ,NAGERCOIL JN,1,10:50:00,10:55:00,5,16,1,
3,ERL,ERANIEL,1,11:14:00,11:15:00,1,34,1,
4,KZT,KULITTHURAI,1,11:32:00,11:33:00,1,49,1,
5,PASA,PARASHSHALA,1,11:44:00,11:45:00,1,57,1,
6,NYY,NEYYATTINKARA,1,11:59:00,12:00:00,1,70,1,
7,TVC,TRIVANDRUM CNTL,1,12:50:00,13:00:00,10,87,1,
8,KZK,KAZHAKUTTAM,1,13:12:00,13:13:00,1,100,1,
9,CRY,CHIRAYINKIL,1,13:21:00,13:22:00,1,116,1,
10,KVU,KADAKAVUR,1,13:26:00,13:27:00,1,119,1,
11,VAK,VARKALASIVAGIRI,1,13:38:00,13:39:00,1,128,1,
12,PVU,PARAVUR,1,13:50:00,13:51:00,1,139,1,
13,QLN,KOLLAM JN,1,14:10:00,14:15:00,5,152,1,
14,STKT,SASTHANKOTTA,1,14:34:00,14:35:00,1,171,1,
15,KPY,KARUNAGAPALLI,1,14:44:00,14:45:00,1,179,1,
16,KYJ,KAYANKULAM JN,1,15:00:00,15:02:00,2,192,1,
17,MVLK,MAVELIKARA,1,15:11:00,15:12:00,1,200,1,
18,CNGR,CHENGANNUR,1,15:29:00,15:30:00,1,213,1,
19,TRVL,TIRUVALLA,1,15:39:00,15:40:00,1,222,1,
20,CGY,CHANGANASERI,1,15:49:00,15:50:00,1,230,1,
21,KTYM,KOTTAYAM,1,16:20:00,16:25:00,5,247,1,
22,PVRD,PIRAVAM ROAD,1,16:54:00,16:55:00,1,278,1,
23,TRTR,TRIUPUNITTURA,1,17:13:00,17:14:00,1,297,1,
24,ERN,ERNAKULAM TOWN,1,17:45:00,17:50:00,5,310,1,
25,AWY,ALUVA,1,18:10:00,18:12:00,2,326,1,
26,AFK,ANGAMALI,1,18:21:00,18:22:00,1,336,1,
27,CKI,CHALAKUDI,1,18:34:00,18:35:00,1,351,1,
28,IJK,IRINJALAKUDA,1,18:44:00,18:45:00,1,357,1,
29,PUK,PUDUKAD,1,18:59:00,19:00:00,1,368,1,
30,TCR,THRISUR,1,19:22:00,19:25:00,3,381,1,
31,WKI,WADAKANCHERI,1,19:49:00,19:50:00,1,398,1,
32,OTP,OTTAPPALAM,1,20:44:00,20:45:00,1,427,1,
33,PGT,PALAKKAD,1,21:25:00,21:30:00,5,458,1,
34,CBE,COIMBATORE JN,1,22:50:00,22:55:00,5,513,1,
35,TUP,TIRUPPUR,1,23:38:00,23:40:00,2,563,1,
36,ED,ERODE JN,1,00:30:00,00:35:00,5,613,2,
37,SA,SALEM JN,1,01:25:00,01:30:00,5,676,2,
38,TPT,TIRUPATTUR JN,1,02:59:00,03:00:00,1,788,2,
39,KPN,KUPPAM,1,04:29:00,04:30:00,1,840,2,
40,BWT,BANGARAPET,1,05:13:00,05:15:00,2,874,2,
41,MLO,MALUR,1,05:39:00,05:40:00,1,901,2,
42,WFD,WHITEFIELD,1,05:59:00,06:00:00,1,921,2,
43,KJM,KRISHNARAJAPURM,1,06:18:00,06:20:00,2,930,2,
44,BNCE,BANGALORE EAST,1,06:27:00,06:28:00,1,937,2,
45,BNC,BANGALORE CANT,1,06:45:00,06:50:00,5,940,2,
46,SBC,BANGALORE CY JN,1,07:20:00,Destination,0,944,2,


Train,16528,YESVANTPUR EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,CAN,KANNUR,1,Source,16:30:00,0,0,1,
2,PAY,PAYYANUR,1,16:56:00,16:58:00,2,34,1,
3,KZE,KANHANGAD,1,17:23:00,17:25:00,2,63,1,
4,KGQ,KASARAGOD,1,17:43:00,17:45:00,2,86,1,
5,MAQ,MANGALORE CNTL,1,18:55:00,20:55:00,0,132,1,
6,MAJN,MANGALORE JN,1,21:08:00,21:10:00,2,137,1,
7,BNTL,BANTAWALA,1,21:43:00,21:45:00,2,157,1,
8,KBPR,KABAKAPUTTUR,1,22:13:00,22:15:00,2,181,1,
9,SBHR,SUBRAHMANYA RD,1,22:50:00,23:00:00,10,223,1,
10,SKLR,SAKLESHPUR,1,01:25:00,01:35:00,10,334,2,
11,HAS,HASSAN,1,02:50:00,03:05:00,15,376,2,
12,HLN,HOLE NARSIPUR,1,03:33:00,03:35:00,2,408,2,
13,KRNR,KRISHNARAJNAGAR,1,04:23:00,04:25:00,2,462,2,
14,MYS,MYSORE JN,1,05:20:00,05:40:00,20,496,2,
15,MYA,MANDYA,1,06:23:00,06:25:00,2,542,2,
16,KGI,KENGERI,1,07:38:00,07:39:00,1,622,2,
17,SBC,BANGALORE CY JN,1,08:15:00,08:20:00,5,635,2,
18,YPR,YESVANTPUR JN,1,08:55:00,Destination,0,640,2,


Train,16592,HAMPI EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,MYS,MYSORE JN,1,Source,18:15:00,0,0,1,
2,PANP,PANDAVAPURA,1,18:34:00,18:35:00,1,20,1,
3,MYA,MANDYA,1,18:58:00,19:00:00,2,46,1,
4,MAD,MADDUR,1,19:19:00,19:20:00,1,65,1,
5,CPT,CHANNAPATNA,1,19:39:00,19:40:00,1,83,1,
6,RMGM,RAMANAGARAM,1,19:54:00,19:55:00,1,94,1,
7,BID,BIDADI,1,20:14:00,20:15:00,1,109,1,
8,KGI,KENGERI,1,20:34:00,20:35:00,1,127,1,
9,SBC,BANGALORE CY JN,1,21:50:00,22:00:00,10,139,1,
10,BNC,BANGALORE CANT,1,22:10:00,22:12:00,2,143,1,
11,YNK,YELHANKA JN,1,22:38:00,22:40:00,2,166,1,
12,DBU,DODBALLAPUR,1,22:59:00,23:00:00,1,186,1,
13,GBD,GAURIBIDANUR,1,23:39:00,23:40:00,1,225,1,
14,HUP,HINDUPUR,1,00:03:00,00:05:00,2,249,2,
15,PKD,PENUKONDA,1,00:49:00,00:50:00,1,286,2,
16,DMM,DHARMAVARAM JN,1,02:00:00,02:05:00,5,328,2,
17,ATP,ANANTAPUR,1,02:44:00,02:45:00,1,361,2,
18,GY,GOOTY,1,04:19:00,04:20:00,1,418,2,
19,GTL,GUNTAKAL JN,1,05:00:00,05:05:00,5,447,2,
20,BAY,BELLARY JN,1,06:25:00,06:30:00,5,497,2,
21,TNGL,TORANAGALLU,1,06:59:00,07:00:00,1,530,2,
22,HPT,HOSPET JN,1,07:42:00,07:45:00,3,562,2,
23,MRB,MUNIRABAD,1,07:54:00,07:55:00,1,568,2,
24,KBL,KOPPAL,1,08:19:00,08:20:00,1,590,2,
25,BNP,BHANAPUR,1,08:29:00,08:30:00,1,602,2,
26,KGX,KANGINHAL,1,09:09:00,09:10:00,1,639,2,
27,GDG,GADAG JN,1,09:18:00,09:20:00,2,648,2,
28,NGR,ANNIGERI,1,09:59:00,10:00:00,1,670,2,
29,SVHE,SISVINHALLI,1,10:09:00,10:10:00,1,683,2,
30,UBL,HUBLI JN,1,11:00:00,Destination,0,706,2,


Train,16603,MAVELI EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,MAQ,MANGALORE CNTL,1,Source,17:45:00,0,0,1,
2,KGQ,KASARAGOD,1,18:29:00,18:30:00,1,46,1,
3,KZE,KANHANGAD,1,18:49:00,18:50:00,1,69,1,
4,NLE,NILESHWAR,1,18:59:00,19:00:00,1,79,1,
5,CHV,CHARVATTUR,1,19:07:00,19:08:00,1,84,1,
6,PAY,PAYYANUR,1,19:21:00,19:22:00,1,98,1,
7,PAZ,PAYANGADI,1,19:31:00,19:32:00,1,110,1,
8,CAN,KANNUR,1,20:20:00,20:25:00,5,132,1,
9,TLY,THALASSERY,1,20:44:00,20:45:00,1,153,1,
10,MAHE,MAHE,1,20:56:00,20:57:00,1,162,1,
11,BDJ,VADAKARA,1,21:09:00,21:10:00,1,175,1,
12,QLD,QUILANDI,1,21:29:00,21:30:00,1,197,1,
13,CLT,KOZHIKODE,1,22:05:00,22:10:00,5,221,1,
14,TIR,TIRUR,1,22:49:00,22:50:00,1,262,1,
15,KTU,KUTTIPPURAM,1,23:09:00,23:10:00,1,277,1,
16,SRR,SHORANUR JN,1,00:05:00,00:15:00,10,307,2,
17,TCR,THRISUR,1,00:57:00,01:00:00,3,340,2,
18,AWY,ALUVA,1,01:50:00,01:52:00,2,394,2,
19,ERS,ERNAKULAM JN,1,02:25:00,02:30:00,5,414,2,
20,TUVR,TURAVUR,1,02:54:00,02:55:00,1,437,2,
21,SRTL,SHERTALAI,1,03:04:00,03:05:00,1,447,2,
22,MAKM,MARARIKULAM,1,03:19:00,03:20:00,1,458,2,
23,ALLP,ALLEPPEY,1,03:40:00,03:43:00,3,471,2,
24,AMPA,AMBALAPUZHA,1,03:54:00,03:55:00,1,483,2,
25,HAD,HARIPPAD,1,04:14:00,04:15:00,1,501,2,
26,KYJ,KAYANKULAM JN,1,04:48:00,04:50:00,2,514,2,
27,KPY,KARUNAGAPALLI,1,05:09:00,05:10:00,1,528,2,
28,QLN,KOLLAM JN,1,05:40:00,05:45:00,5,555,2,
29,PVU,PARAVUR,1,05:56:00,05:57:00,1,567,2,
30,VAK,VARKALASIVAGIRI,1,06:09:00,06:10:00,1,578,2,
31,TVC,TRIVANDRUM CNTL,1,07:05:00,Destination,0,619,2,


Train,16604,MAVELI EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,TVC,TRIVANDRUM CNTL,1,Source,19:30:00,0,0,1,
2,VAK,VARKALASIVAGIRI,1,20:00:00,20:02:00,2,41,1,
3,PVU,PARAVUR,1,20:13:00,20:14:00,1,53,1,
4,QLN,KOLLAM JN,1,20:30:00,20:35:00,5,65,1,
5,KPY,KARUNAGAPALLI,1,20:59:00,21:00:00,1,92,1,
6,KYJ,KAYANKULAM JN,1,21:18:00,21:20:00,2,106,1,
7,HAD,HARIPPAD,1,21:34:00,21:35:00,1,119,1,
8,AMPA,AMBALAPUZHA,1,21:54:00,21:55:00,1,137,1,
9,ALLP,ALLEPPEY,1,22:07:00,22:10:00,3,149,1,
10,MAKM,MARARIKULAM,1,22:24:00,22:25:00,1,162,1,
11,SRTL,SHERTALAI,1,22:34:00,22:35:00,1,173,1,
12,TUVR,TURAVUR,1,22:44:00,22:45:00,1,183,1,
13,ERS,ERNAKULAM JN,1,23:30:00,23:35:00,5,206,1,
14,AWY,ALUVA,1,00:07:00,00:10:00,3,225,2,
15,TCR,THRISUR,1,01:02:00,01:05:00,3,280,2,
16,SRR,SHORANUR JN,1,01:55:00,02:05:00,10,313,2,
17,KTU,KUTTIPPURAM,1,02:34:00,02:35:00,1,343,2,
18,TIR,TIRUR,1,02:52:00,02:53:00,1,358,2,
19,CLT,KOZHIKODE,1,03:40:00,03:45:00,5,399,2,
20,QLD,QUILANDI,1,04:07:00,04:08:00,1,423,2,
21,BDJ,VADAKARA,1,04:26:00,04:27:00,1,445,2,
22,MAHE,MAHE,1,04:36:00,04:37:00,1,458,2,
23,TLY,THALASSERY,1,04:49:00,04:50:00,1,467,2,
24,CAN,KANNUR,1,05:20:00,05:25:00,5,488,2,
25,PAZ,PAYANGADI,1,05:44:00,05:45:00,1,510,2,
26,PAY,PAYYANUR,1,05:54:00,05:55:00,1,521,2,
27,CHV,CHARVATTUR,1,06:07:00,06:08:00,1,536,2,
28,NLE,NILESHWAR,1,06:15:00,06:16:00,1,541,2,
29,KZE,KANHANGAD,1,06:25:00,06:26:00,1,551,2,
30,KGQ,KASARAGOD,1,06:49:00,06:50:00,1,574,2,
31,MAQ,MANGALORE CNTL,1,08:00:00,Destination,0,619,2,


Train,16605,ERNAD EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,MAQ,MANGALORE CNTL,1,Source,07:20:00,0,0,1,
2,MJS,MANJESHWAR,1,07:44:00,07:45:00,1,17,1,
3,KMQ,KUMBLA,1,08:01:00,08:02:00,1,34,1,
4,KGQ,KASARAGOD,1,08:11:00,08:12:00,1,46,1,
5,KZE,KANHANGAD,1,08:31:00,08:32:00,1,69,1,
6,NLE,NILESHWAR,1,08:41:00,08:42:00,1,79,1,
7,CHV,CHARVATTUR,1,08:49:00,08:50:00,1,84,1,
8,PAY,PAYYANUR,1,09:04:00,09:05:00,1,98,1,
9,VAPM,VALAPATTANAM,1,09:29:00,09:30:00,1,125,1,
10,CAN,KANNUR,1,09:50:00,09:55:00,5,132,1,
11,TLY,THALASSERY,1,10:15:00,10:16:00,1,153,1,
12,MAHE,MAHE,1,10:26:00,10:27:00,1,162,1,
13,BDJ,VADAKARA,1,10:38:00,10:39:00,1,175,1,
14,PYOL,PAYYOLI,1,10:44:00,10:45:00,1,184,1,
15,QLD,QUILANDI,1,11:01:00,11:02:00,1,197,1,
16,CLT,KOZHIKODE,1,11:35:00,11:40:00,5,221,1,
17,FK,FEROK,1,11:54:00,11:55:00,1,231,1,
18,VLI,VALLIKUNNU,1,12:08:00,12:09:00,1,241,1,
19,PGI,PARPANANGADI,1,12:15:00,12:16:00,1,246,1,
20,TA,TANUR,1,12:25:00,12:26:00,1,254,1,
21,TIR,TIRUR,1,12:35:00,12:36:00,1,262,1,
22,KTU,KUTTIPPURAM,1,12:54:00,12:55:00,1,277,1,
23,PTB,PATTAMBI,1,13:14:00,13:15:00,1,296,1,
24,SRR,SHORANUR JN,1,13:50:00,14:00:00,10,307,1,
25,TCR,THRISUR,1,14:32:00,14:35:00,3,340,1,
26,CKI,CHALAKUDI,1,15:00:00,15:01:00,1,370,1,
27,AWY,ALUVA,1,15:33:00,15:35:00,2,394,1,
28,ERS,ERNAKULAM JN,1,16:15:00,16:20:00,5,414,1,
29,TUVR,TURAVUR,1,16:49:00,16:50:00,1,437,1,
30,SRTL,SHERTALAI,1,16:59:00,17:00:00,1,447,1,
31,ALLP,ALLEPPEY,1,17:37:00,17:40:00,3,471,1,
32,AMPA,AMBALAPUZHA,1,17:54:00,17:55:00,1,483,1,
33,HAD,HARIPPAD,1,18:17:00,18:18:00,1,501,1,
34,KYJ,KAYANKULAM JN,1,18:35:00,18:37:00,2,514,1,
35,KPY,KARUNAGAPALLI,1,18:48:00,18:49:00,1,528,1,
36,QLN,KOLLAM JN,1,19:55:00,20:00:00,5,555,1,
37,VAK,VARKALASIVAGIRI,1,20:19:00,20:20:00,1,578,1,
38,TVC,TRIVANDRUM CNTL,1,21:05:00,21:15:00,10,619,1,
39,NYY,NEYYATTINKARA,1,21:34:00,21:35:00,1,636,1,
40,KZT,KULITTHURAI,1,22:09:00,22:10:00,1,657,1,
41,NCJ,NAGERCOIL JN,1,23:15:00,Destination,0,690,1,


Train,16610,NAGERCOIL EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,CBE,COIMBATORE JN,1,Source,20:30:00,0,0,1,
2,TUP,TIRUPPUR,1,21:08:00,21:10:00,2,51,1,
3,ED,ERODE JN,1,22:00:00,22:10:00,10,101,1,
4,PGR,PUGALUR,1,23:19:00,23:20:00,1,151,1,
5,KRR,KARUR,1,23:37:00,23:40:00,3,166,1,
6,DG,DINDIGUL JN,1,00:55:00,01:00:00,5,240,2,
7,MDU,MADURAI JN,1,02:00:00,02:05:00,5,306,2,
8,VPT,VIRUDUNAGAR JN,1,02:48:00,02:50:00,2,350,2,
9,SRT,SATUR,1,03:14:00,03:15:00,1,376,2,
10,CVP,KOVILPATTI,1,03:36:00,03:37:00,1,398,2,
11,MEJ,VANCHIMANIYACHI,1,04:10:00,04:15:00,5,434,2,
12,TEN,TIRUNELVELI,1,05:15:00,05:20:00,5,463,2,
13,VLY,VALLIYUR,1,06:14:00,06:15:00,1,505,2,
14,NCJ,NAGERCOIL JN,1,07:05:00,Destination,0,536,2,


Train,16612,CBE TN LINK EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,CBE,COIMBATORE JN,1,Source,20:30:00,0,0,1,
2,TUP,TIRUPPUR,1,21:08:00,21:10:00,2,51,1,
3,ED,ERODE JN,1,22:00:00,22:10:00,10,101,1,
4,PGR,PUGALUR,1,23:19:00,23:20:00,1,151,1,
5,KRR,KARUR,1,23:37:00,23:40:00,3,166,1,
6,DG,DINDIGUL JN,1,00:55:00,01:00:00,5,240,2,
7,MDU,MADURAI JN,1,02:00:00,02:05:00,5,306,2,
8,VPT,VIRUDUNAGAR JN,1,02:48:00,02:50:00,2,350,2,
9,SRT,SATUR,1,03:14:00,03:15:00,1,376,2,
10,CVP,KOVILPATTI,1,03:36:00,03:37:00,1,398,2,
11,MEJ,VANCHIMANIYACHI,1,04:10:00,05:10:00,12,434,2,
12,MVN,MILAVITTAN,1,05:39:00,05:40:00,1,457,2,
13,TME,TUTI MELUR,1,05:44:00,05:45:00,1,464,2,
14,TN,TUTICORIN,1,06:10:00,Destination,0,465,2,


Train,16629,MALABAR EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,TVC,TRIVANDRUM CNTL,1,Source,18:30:00,0,0,1,
2,KZK,KAZHAKUTTAM,1,18:41:00,18:42:00,1,14,1,
3,MQU,MURUKKAMPUZHA,1,18:47:00,18:48:00,1,22,1,
4,CRY,CHIRAYINKIL,1,18:55:00,18:56:00,1,29,1,
5,KVU,KADAKAVUR,1,19:00:00,19:01:00,1,32,1,
6,VAK,VARKALASIVAGIRI,1,19:11:00,19:12:00,1,41,1,
7,PVU,PARAVUR,1,19:24:00,19:25:00,1,53,1,
8,QLN,KOLLAM JN,1,19:50:00,19:55:00,5,65,1,
9,STKT,SASTHANKOTTA,1,20:14:00,20:15:00,1,85,1,
10,KPY,KARUNAGAPALLI,1,20:24:00,20:25:00,1,92,1,
11,KYJ,KAYANKULAM JN,1,20:48:00,20:50:00,2,106,1,
12,MVLK,MAVELIKARA,1,20:58:00,21:00:00,2,114,1,
13,CNGR,CHENGANNUR,1,21:18:00,21:20:00,2,126,1,
14,TRVL,TIRUVALLA,1,21:28:00,21:30:00,2,135,1,
15,CGY,CHANGANASERI,1,21:38:00,21:40:00,2,143,1,
16,KTYM,KOTTAYAM,1,22:10:00,22:15:00,5,161,1,
17,PVRD,PIRAVAM ROAD,1,22:48:00,22:50:00,2,192,1,
18,TRTR,TRIUPUNITTURA,1,23:19:00,23:20:00,1,211,1,
19,ERN,ERNAKULAM TOWN,1,23:53:00,23:58:00,5,223,1,
20,AWY,ALUVA,1,00:17:00,00:20:00,3,240,2,
21,AFK,ANGAMALI,1,00:31:00,00:32:00,1,249,2,
22,CKI,CHALAKUDI,1,00:49:00,00:50:00,1,264,2,
23,IJK,IRINJALAKUDA,1,00:59:00,01:00:00,1,271,2,
24,TCR,THRISUR,1,01:27:00,01:30:00,3,295,2,
25,SRR,SHORANUR JN,1,02:45:00,02:55:00,10,327,2,
26,PTB,PATTAMBI,1,03:09:00,03:10:00,1,339,2,
27,KTU,KUTTIPPURAM,1,03:28:00,03:30:00,2,357,2,
28,TIR,TIRUR,1,03:46:00,03:48:00,2,372,2,
29,TA,TANUR,1,03:57:00,03:58:00,1,380,2,
30,PGI,PARPANANGADI,1,04:07:00,04:08:00,1,388,2,
31,FK,FEROK,1,04:24:00,04:25:00,1,403,2,
32,CLT,KOZHIKODE,1,04:45:00,04:50:00,5,413,2,
33,QLD,QUILANDI,1,05:14:00,05:15:00,1,438,2,
34,BDJ,VADAKARA,1,05:33:00,05:35:00,2,460,2,
35,MAHE,MAHE,1,05:44:00,05:45:00,1,472,2,
36,TLY,THALASSERY,1,05:53:00,05:55:00,2,482,2,
37,CAN,KANNUR,1,06:35:00,06:40:00,5,502,2,
38,VAPM,VALAPATTANAM,1,06:49:00,06:50:00,1,509,2,
39,KPQ,KANNAPURAM,1,06:57:00,06:58:00,1,517,2,
40,PAZ,PAYANGADI,1,07:06:00,07:07:00,1,524,2,
41,ELM,ELIMALA,1,07:13:00,07:14:00,1,531,2,
42,PAY,PAYYANUR,1,07:19:00,07:21:00,2,536,2,
43,TKQ,TRIKARPUR,1,07:27:00,07:28:00,1,542,2,
44,CHV,CHARVATTUR,1,07:35:00,07:36:00,1,551,2,
45,NLE,NILESHWAR,1,07:43:00,07:44:00,1,556,2,
46,KZE,KANHANGAD,1,07:53:00,07:55:00,2,565,2,
47,BFR,BEKAL FORT,1,08:04:00,08:05:00,1,574,2,
48,KQK,KOTIKULAM,1,08:12:00,08:13:00,1,579,2,
49,KGQ,KASARAGOD,1,08:28:00,08:30:00,2,588,2,
50,KMQ,KUMBLA,1,08:39:00,08:40:00,1,600,2,
51,UAA,UPPALA,1,08:46:00,08:47:00,1,610,2,
52,MJS,MANJESHWAR,1,08:56:00,08:57:00,1,617,2,
53,ULL,ULLAL,1,09:04:00,09:05:00,1,625,2,
54,MAQ,MANGALORE CNTL,1,10:05:00,Destination,0,634,2,


Train,16630,MALABAR EXPRESS,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,MAQ,MANGALORE CNTL,1,Source,18:20:00,0,0,1,
2,ULL,ULLAL,1,18:39:00,18:40:00,1,9,1,
3,MJS,MANJESHWAR,1,18:47:00,18:48:00,1,17,1,
4,UAA,UPPALA,1,18:54:00,18:55:00,1,24,1,
5,KMQ,KUMBLA,1,19:05:00,19:06:00,1,34,1,
6,KGQ,KASARAGOD,1,19:15:00,19:17:00,2,46,1,
7,KQK,KOTIKULAM,1,19:28:00,19:29:00,1,56,1,
8,BFR,BEKAL FORT,1,19:35:00,19:36:00,1,61,1,
9,KZE,KANHANGAD,1,19:43:00,19:45:00,2,69,1,
10,NLE,NILESHWAR,1,19:56:00,19:57:00,1,79,1,
11,CHV,CHARVATTUR,1,20:05:00,20:06:00,1,84,1,
12,TKQ,TRIKARPUR,1,20:12:00,20:13:00,1,92,1,
13,PAY,PAYYANUR,1,20:20:00,20:22:00,2,98,1,
14,ELM,ELIMALA,1,20:29:00,20:30:00,1,103,1,
15,PAZ,PAYANGADI,1,20:36:00,20:37:00,1,110,1,
16,KPQ,KANNAPURAM,1,20:45:00,20:46:00,1,118,1,
17,VAPM,VALAPATTANAM,1,20:54:00,20:55:00,1,125,1,
18,CAN,KANNUR,1,21:15:00,21:20:00,5,132,1,
19,TLY,THALASSERY,1,21:38:00,21:40:00,2,153,1,
20,MAHE,MAHE,1,21:51:00,21:52:00,1,162,1,
21,BDJ,VADAKARA,1,22:03:00,22:05:00,2,175,1,
22,QLD,QUILANDI,1,22:21:00,22:23:00,2,197,1,
23,CLT,KOZHIKODE,1,23:00:00,23:05:00,5,221,1,
24,FK,FEROK,1,23:19:00,23:20:00,1,231,1,
25,PGI,PARPANANGADI,1,23:37:00,23:38:00,1,246,1,
26,TA,TANUR,1,23:47:00,23:48:00,1,254,1,
27,TIR,TIRUR,1,23:56:00,23:58:00,2,262,1,
28,KTU,KUTTIPPURAM,1,00:18:00,00:20:00,2,277,2,
29,PTB,PATTAMBI,1,00:33:00,00:35:00,2,296,2,
30,SRR,SHORANUR JN,1,01:15:00,01:25:00,10,307,2,
31,TCR,THRISUR,1,02:07:00,02:10:00,3,340,2,
32,IJK,IRINJALAKUDA,1,02:29:00,02:30:00,1,364,2,
33,CKI,CHALAKUDI,1,02:39:00,02:40:00,1,370,2,
34,AFK,ANGAMALI,1,02:54:00,02:55:00,1,385,2,
35,AWY,ALUVA,1,03:07:00,03:10:00,3,394,2,
36,ERN,ERNAKULAM TOWN,1,03:40:00,03:45:00,5,411,2,
37,PVRD,PIRAVAM ROAD,1,04:14:00,04:15:00,1,443,2,
38,KTYM,KOTTAYAM,1,04:50:00,04:55:00,5,474,2,
39,CGY,CHANGANASERI,1,05:14:00,05:15:00,1,491,2,
40,TRVL,TIRUVALLA,1,05:24:00,05:25:00,1,499,2,
41,CNGR,CHENGANNUR,1,05:34:00,05:35:00,1,508,2,
42,MVLK,MAVELIKARA,1,05:48:00,05:50:00,2,521,2,
43,KYJ,KAYANKULAM JN,1,06:08:00,06:10:00,2,529,2,
44,KPY,KARUNAGAPALLI,1,06:24:00,06:25:00,1,542,2,
45,STKT,SASTHANKOTTA,1,06:34:00,06:35:00,1,550,2,
46,QLN,KOLLAM JN,1,07:10:00,07:15:00,5,569,2,
47,PVU,PARAVUR,1,07:26:00,07:27:00,1,582,2,
48,VAK,VARKALASIVAGIRI,1,07:41:00,07:42:00,1,593,2,
49,KVU,KADAKAVUR,1,07:51:00,07:52:00,1,602,2,
50,CRY,CHIRAYINKIL,1,07:56:00,07:57:00,1,605,2,
51,MQU,MURUKKAMPUZHA,1,08:06:00,08:07:00,1,613,2,
52,KZK,KAZHAKUTTAM,1,08:19:00,08:20:00,1,621,2,
53,TVP,TRIVANDRUM PETT,1,08:34:00,08:35:00,1,631,2,
54,TVC,TRIVANDRUM CNTL,1,09:00:00,Destination,0,634,2,


Train,16649,PARASURAM EXP,,,,,,,
Sno,Stn Code,Stn Name,Route No.,Arr Time,Depp Time,Halt Time,Distance,Day,
1,MAQ,MANGALORE CNTL,1,Source,04:50:00,0,0,1,
2,KGQ,KASARAGOD,1,05:35:00,05:36:00,1,46,1,
3,KZE,KANHANGAD,1,05:56:00,05:57:00,1,69,1,
4,NLE,NILESHWAR,1,06:07:00,06:08:00,1,79,1,
5,PAY,PAYYANUR,1,06:28:00,06:29:00,1,98,1,
6,PAZ,PAYANGADI,1,06:40:00,06:41:00,1,110,1,
7,KPQ,KANNAPURAM,1,06:48:00,06:49:00,1,118,1,
8,CAN,KANNUR,1,07:15:00,07:20:00,5,132,1,
9,TLY,THALASSERY,1,07:39:00,07:40:00,1,153,1,
10,MAHE,MAHE,1,07:49:00,07:50:00,1,162,1,
11,BDJ,VADAKARA,1,08:02:00,08:03:00,1,175,1,
12,QLD,QUILANDI,1,08:19:00,08:20:00,1,197,1,
13,CLT,KOZHIKODE,1,09:00:00,09:05:00,5,221,1,
14,FK,FEROK,1,09:19:00,09:20:00,1,231,1,
15,VLI,VALLIKUNNU,1,09:32:00,09:33:00,1,241,1,
16,PGI,PARPANANGADI,1,09:40:00,09:41:00,1,246,1,
17,TA,TANUR,1,09:49:00,09:50:00,1,254,1,
18,TIR,TIRUR,1,09:59:00,10:00:00,1,262,1,
19,KTU,KUTTIPPURAM,1,10:19:00,10:20:00,1,277,1,
20,PTB,PATTAMBI,1,10:34:00,10:35:00,1,296,1,
21,SRR,SHORANUR JN,1,11:10:00,11:15:00,5,307,1,
22,WKI,WADAKANCHERI,1,11:34:00,11:35:00,1,323,1,
23,TCR,THRISUR,1,11:52:00,11:54:00,2,340,1,
24,PUK,PUDUKAD,1,12:08:00,12:09:00,1,353,1,
25,IJK,IRINJALAKUDA,1,12:19:00,12:20:00,1,364,1,
26,CKI,CHALAKUDI,1,12:28:00,12:29:00,1,370,1,
27,DINR,DIVINE NAGAR,1,12:33:00,12:34:00,1,373,1,
28,AFK,ANGAMALI,1,12:44:00,12:45:00,1,385,1,
